Тема,Буква,Текст,Картинка 1,Картинка 2,Описание картинки 1,Описание картинки 2,Кто делает
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Spending free time” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of spending free time;
·    express your opinion on the subject of the project – which way of spending free time presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/C8753A3C024489DC4506E61629E5C0FB(copy1)/xs3qstsrcC8753A3C024489DC4506E61629E5C0FB_2_1479380646.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/C8753A3C024489DC4506E61629E5C0FB(copy1)/xs3qstsrcC8753A3C024489DC4506E61629E5C0FB_4_1479380646.jpg,"The photo shows a family of four people: mum, dad and two children. They are riding their bikes somewhere in the countryside.","In the photo we see a man at an indoor ice rink. The man is dressed in winter clothes, he is wearing a hat and a down jacket. On his shoulder there is a pair of hockey skates. The man smiles and gives a thumbs-up.",Маша
Жизнь в городе и сельской местности. Проблемы города и села,Б,"Task 4. Imagine that you are doing a project “Places to live” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two places of living;
·    express your opinion on the subject of the project – which of the places presented in the pictures you’d prefer to live in and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/3704FC6528B2860F41A71C1E674D14CD(copy1)/xs3qstsrc3704FC6528B2860F41A71C1E674D14CD_2_1479311818.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/3704FC6528B2860F41A71C1E674D14CD(copy1)/xs3qstsrc3704FC6528B2860F41A71C1E674D14CD_4_1479311818.jpg,"The photo shows the girl standing next to the well and looking into the iron bucket. The girl is most likely in the village, probably with her grandparents.",The photo shows a woman stainding on a high spot and there is a panoramic view of the city at the background. ,Маша
"Родная страна и страна/страны изучаемого языка. Их географическое положение, климат, население, города и сёла, достопримечательности",Ж,"Task 4. Imagine that you are doing a project “Seasons” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two different seasons;
·    express your opinion on the subject of the project – which of the seasons presented in the pictures you’d prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2FD5DFE9B7A69753424BD0B0A805BCFB(copy1)/xs3qstsrc2FD5DFE9B7A69753424BD0B0A805BCFB_2_1479379855.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2FD5DFE9B7A69753424BD0B0A805BCFB(copy1)/xs3qstsrc2FD5DFE9B7A69753424BD0B0A805BCFB_4_1479379855.jpg,The photo shows the girl sitting next to the snowman.  The girl is dressed in winter clothes. The girl is surrounded by snow and fur trees.,"The photo shows a girl standing in a meadow almost waist-deep in grass, holding a bunch of balloons in her hands.",Маша
"Повседневная жизнь и быт, распределение домашних обязанностей в семье. Покупки",А,"Task 4. Imagine that you are doing a project “Food preferences” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of food;
·    express your opinion on the subject of the project – which of the foods presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/F896FBE7F6DB80CB49E19080F494990E(copy1)/xs3qstsrcF896FBE7F6DB80CB49E19080F494990E_2_1479378513.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/F896FBE7F6DB80CB49E19080F494990E(copy1)/xs3qstsrcF896FBE7F6DB80CB49E19080F494990E_4_1479378513.jpg,The photo shows a woman choosing fruit in the fruit department of a supermarket.,The photo shows a family of four choosing milk in the dairy section of a supermarket.,Маша
"Путешествие по своей стране и за рубежом, осмотр достопримечательностей",З,"Task 4. Imagine that you are doing a project “Transport” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of transport;
·    express your opinion on the subject of the project – which kind of transport presented in the pictures you prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/114549F267A992EA46FA8D712360A725(copy1)/xs3qstsrc114549F267A992EA46FA8D712360A725_2_1549879677.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/114549F267A992EA46FA8D712360A725(copy1)/xs3qstsrc114549F267A992EA46FA8D712360A725_4_1549879677.jpg,The photo shows a man and a woman standing on the platform of a railway station. They are carrying a travel bag and a suitcase. Behind the couple there is a train. Probably they are waiting for their train to arrive.,The photo shows a girl waving her right hand to catch a taxi on a busy street.,Маша
"Повседневная жизнь и быт, распределение домашних обязанностей в семье. Покупки",А,"Task 4. Imagine that you are doing a project “Shopping” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of shopping;
·    express your opinion on the subject of the project – which type of shopping you prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/9EDCD385F5D8A4F7461ED010BD6D1BCA(copy1)/xs3qstsrc9EDCD385F5D8A4F7461ED010BD6D1BCA_2_1549879382.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/9EDCD385F5D8A4F7461ED010BD6D1BCA(copy1)/xs3qstsrc9EDCD385F5D8A4F7461ED010BD6D1BCA_4_1549879382.jpg,"The photo shows a family who came to the store for shopping. The head of the family holds bread in his hands, pointing at it",The photo shows a girl. She is lying on the sofa and holding a tablet and a credit card in her hands,Даша
Праздники и знаменательные даты в различных странах мира,У,"Task 4. Imagine that you are doing a project “Celebrations” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two different celebrations;
·    express your opinion on the subject of the project – which of the celebrations presented in the pictures you preferred as a child and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/D30CE40313CBBF684429C5C6C98900BE(copy1)/xs3qstsrcD30CE40313CBBF684429C5C6C98900BE_2_1549879495.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/D30CE40313CBBF684429C5C6C98900BE(copy1)/xs3qstsrcD30CE40313CBBF684429C5C6C98900BE_4_1549879495.jpg,This photo shows a family. They're unpacking the gift. A happy child is sitting on a man's lap. A man and a woman look enthusiastic. In the background there is a decorated Christmas tree and a fireplace.,This photo shows children at a birthday celebration. Four guys are watching the birthday boy unpacking gifts.,Даша
"Роль молодёжи в современном обществе, её интересы и увлечения",Д,"Task 4. Imagine that you are doing a project “Pets” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the different pets;
·    express your opinion on the subject of the project – which of the pets presented in the pictures you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/3762234E44DB82A04A45F7580B7F6719(copy1)/xs3qstsrc3762234E44DB82A04A45F7580B7F6719_2_1549879619.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/3762234E44DB82A04A45F7580B7F6719(copy1)/xs3qstsrc3762234E44DB82A04A45F7580B7F6719_4_1549879619.jpg,The picture shows a girl with a rat sitting in her shirt pocket.,The picture shows a girl holding a dog in her arms,Даша
"Школьное образование. Изучаемые предметы, отношение к ним. Каникулы",Р,"Task 4. Imagine that you are doing a project “Classes” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two ways of preparing for classes;
·    express your opinion on the subject of the project – which way of preparing for classes presented in the pictures you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2B2092DE77EF95DC432E5B97F969153C(copy1)/xs3qstsrc2B2092DE77EF95DC432E5B97F969153C_2_1549879469.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2B2092DE77EF95DC432E5B97F969153C(copy1)/xs3qstsrc2B2092DE77EF95DC432E5B97F969153C_4_1549879469.jpg,The picture shows a man and a woman. They are sitting in the classroom and studying documents,The picture shows a guy and a girl. They sit on the steps outside and work,Даша
"Общение в семье и школе, семейные традиции, межличностные отношения с друзьями и знакомыми",В,"Task 4. Imagine that you are doing a project “Seasons” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two different seasons;
·    express your opinion on the subject of the project – which of the seasons presented in the pictures you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/C786B7CD64AE9F55487CD34475E2314F(copy1)/xs3qstsrcC786B7CD64AE9F55487CD34475E2314F_2_1549879560.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/C786B7CD64AE9F55487CD34475E2314F(copy1)/xs3qstsrcC786B7CD64AE9F55487CD34475E2314F_4_1549879560.jpg,The picture shows a family that spends time outdoors in winter.,The picture shows a family that sails on a boat on the river in the summer.,Даша
"Современный мир профессий, рынок труда",М,"Task 4. Imagine that you are doing a project “Part-time job” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two kinds of part-time job;
·    express your opinion on the subject of the project – which part-time job presented in the pictures you’d prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/B18638040CFA9F08430589F4432AFCE4(copy1)/xs3qstsrcB18638040CFA9F08430589F4432AFCE4_2_1574084366.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/B18638040CFA9F08430589F4432AFCE4(copy1)/xs3qstsrcB18638040CFA9F08430589F4432AFCE4_4_1574084366.jpg,The picture shows a girl who is going to start cleaning.,The picture shows a girl who works as a waiter,Даша
"Школьное образование. Изучаемые предметы, отношение к ним. Каникулы",Р,"Task 4. Imagine that you are doing a project “Study” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two ways of studying;
·    express your opinion on the subject of the project – which way of studying presented in the pictures you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/0541A7AB784FB6024E30FCDDB15337C3(copy1)/xs3qstsrc0541A7AB784FB6024E30FCDDB15337C3_2_1574083314.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/0541A7AB784FB6024E30FCDDB15337C3(copy1)/xs3qstsrc0541A7AB784FB6024E30FCDDB15337C3_4_1574083314.jpg,The picture shows a guy and a girl who are preparing for the exam together,The picture shows a girl sitting at a table with a computer. She is preparing for the exam alone,Даша
"Путешествие по своей стране и за рубежом, осмотр достопримечательностей",З,"Task 4. Imagine that you are doing a project “Summer holidays” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of holiday;
·    express your opinion on the subject of the project – which way of spending your summer holiday presented in the pictures you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/31431A9C2AB1BA134BFCE11668ECCF37(copy1)/xs3qstsrc31431A9C2AB1BA134BFCE11668ECCF37_2_1574151894.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/31431A9C2AB1BA134BFCE11668ECCF37(copy1)/xs3qstsrc31431A9C2AB1BA134BFCE11668ECCF37_4_1574151894.jpg,"The picture shows a family. They are in nature. A woman is sorting things out, and a man and a boy are putting up a tent",The picture shows a girl and a woman. They are lying on the beach.,Даша
"Путешествие по своей стране и за рубежом, осмотр достопримечательностей",З,"Task 4. Imagine that you are doing a project “The best family time” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of family time;
·    express your opinion on the subject of the project – which kind of family leisure you preferred as a child and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/361020D0CD5BA1474A69BC952185CF1B(copy1)/xs3qstsrc361020D0CD5BA1474A69BC952185CF1B_2_1642603703.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/361020D0CD5BA1474A69BC952185CF1B(copy1)/xs3qstsrc361020D0CD5BA1474A69BC952185CF1B_4_1642603703.jpg,The picture shows a family in the forest. They look at the fire and drink tea,The picture shows a family in a zoo. They are standing in front of an cage with a lynx,Даша
"Здоровье и забота о нём, самочувствие, медицинские услуги. Здоровый образ жизни",Г,"Task 4. Imagine that you are doing a project “Tastes differ” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of food;
·    express your opinion on the subject of the project – which kind of food you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/C49201CD8C43A108433BD2BF9E0BFA36(copy1)/xs3qstsrcC49201CD8C43A108433BD2BF9E0BFA36_3_1646988818.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/C49201CD8C43A108433BD2BF9E0BFA36(copy1)/xs3qstsrcC49201CD8C43A108433BD2BF9E0BFA36_4_1646988818.jpg,The picture shows a girl with two burgers in her hands,The picture shows a girl. There is a plate of rice in front of her. Someone puts 2 fried eggs on her plate,Даша
"Повседневная жизнь и быт, распределение домашних обязанностей в семье. Покупки",А,"Task 4. Imagine that you are doing a project “Shopping” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of shopping;
·    express your opinion on the subject of the project – which way of shopping you prefer and why. 

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2362FD49753CA6E548761FB1AF881F90(copy1)/xs3qstsrc2362FD49753CA6E548761FB1AF881F90_2_1642604082.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2362FD49753CA6E548761FB1AF881F90(copy1)/xs3qstsrc2362FD49753CA6E548761FB1AF881F90_4_1642604082.jpg,The picture shows a family in the supermarket ith a large grocery cart,The photo shows a girl. She is lying on the sofa and holding a tablet and a credit card in her hands,Даша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “An ideal weekend” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of weekends;
·    express your opinion on the subject of the project – which kind of weekend you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/27B53AE7D832A876414ADF420C06024D(copy1)/xs3qstsrc27B53AE7D832A876414ADF420C06024D_2_1642603432.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/27B53AE7D832A876414ADF420C06024D(copy1)/xs3qstsrc27B53AE7D832A876414ADF420C06024D_4_1642603432.jpg,The picture shows people in a cinema. The foreground shows a man and a woman embracing with popcorn and drinks in their hands,The picture shows a family in the supermarket ith a large grocery cart,Даша
"Общение в семье и школе, семейные традиции, межличностные отношения с друзьями и знакомыми",В,"Task 4. Imagine that you are doing a project “Happy childhood” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:
 
·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of children’s leisure activities;
·    express your opinion on the subject of the project – which leisure activity you preferred as a child and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2BF531E9BFC596D14A608C7A27BE0616(copy1)/xs3qstsrc2BF531E9BFC596D14A608C7A27BE0616_2_1642603946.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/2BF531E9BFC596D14A608C7A27BE0616(copy1)/xs3qstsrc2BF531E9BFC596D14A608C7A27BE0616_4_1642603946.jpg,The picture shows children playing on a children's playground.,The picture shows a girl with a pile of books,Даша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Hobbies” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) of the two types of hobbies;
·    express your opinion on the subject of the project – which kind of hobby you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/4226A66D9D7983C9442A02CA1ACA05EB(copy1)/xs3qstsrc4226A66D9D7983C9442A02CA1ACA05EB_2_1642603772.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/4226A66D9D7983C9442A02CA1ACA05EB(copy1)/xs3qstsrc4226A66D9D7983C9442A02CA1ACA05EB_4_1642603772.jpg,The picture shows a girl on a horse,The picture shows a guy who works using a computer,Даша
Культурно-исторические особенности своей страны и стран изучаемого языка,,"Task 4. Imagine that you are doing a project “Symbols of Russia” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) of the two objects as chosen as symbols of Russia;
·    express your opinion on the subject of the project – why is it important for a country to have recognizable symbols.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://img.freepik.com/free-photo/classic-ballerina-posing-ballet-barre_155003-8339.jpg?w=740&t=st=1688480856~exp=1688481456~hmac=3f549193b98315c3ae3930ec91009422a4f6b7a3f83b20336ecf8e27fbc1b143,https://img.freepik.com/premium-photo/child-girl-fur-coat-scarf-russian-with-balalaika_74906-2649.jpg?w=1060,A young girl in white ballet skirt and a blue bodysuit exercising at a ballet barre ,A little girl in a babushka scarf over her head holding a balalaika outside on a sowy winter day.,
Культурно-исторические особенности своей страны и стран изучаемого языка,,"Task 4. Imagine that you are doing a project “Best epoch of Russia” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) of the two historical periods of Russia;
·    express your opinion on the subject of the project – what the best time period in Russian history is and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://img.freepik.com/premium-photo/ekaterininsky-palace-tsarskoye-selo-pushkin-suburb-saint-petersburg-russia_501530-12148.jpg?w=360,https://img.freepik.com/free-vector/classic-revolution-concept-with-vintage-style_23-2147996209.jpg?w=740&t=st=1688481345~exp=1688481945~hmac=4b86065ee020c3e3e164a63cb039454f26ee0e070e3f5ed81094acd8fea03bf9,A baroque palace in blue and white with a gloden domes of a church behind it. ,A communist worker in a uniform with a red flag in front of some graphic cogwheels,
Вклад России и стран изучаемого языка в развитие науки и мировой культуры,,"Task 4. Imagine that you are doing a project “Culture of Russia” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) the two types of art;
·    express your opinion on the subject of the project – what the best Russian piece of art is and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://img.freepik.com/free-photo/classic-ballerina-posing-ballet-barre_155003-8339.jpg?w=740&t=st=1688480856~exp=1688481456~hmac=3f549193b98315c3ae3930ec91009422a4f6b7a3f83b20336ecf8e27fbc1b143,https://img.freepik.com/free-vector/classic-revolution-concept-with-vintage-style_23-2147996209.jpg?w=740&t=st=1688481345~exp=1688481945~hmac=4b86065ee020c3e3e164a63cb039454f26ee0e070e3f5ed81094acd8fea03bf9,A young girl in white ballet skirt and a blue bodysuit exercising at a ballet barre ,A baroque palace in blue and white with a gloden domes of a church behind it. ,
Вклад России и стран изучаемого языка в развитие науки и мировой культуры,,"Task 4. Imagine that you are doing a project “Space exploration” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) the two ways of exploring space;
·    express your opinion on the subject of the project – what the best way to explore space is and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://img.freepik.com/premium-photo/generative-ai-illustration-english-bulldog-dog-dressed-as-astronaut_58460-11707.jpg?w=360,https://img.freepik.com/premium-photo/rover-traverses-barren-landscape-mars-creating-using-generative-ai-tools_852340-956.jpg?w=1060,A bulldog wearing a space suit in space,A mars rover on Mars-like surface,
Возможности продолжения образования в высшей школе,,"Task 4. Imagine that you are doing a project “University education” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) the two ways of studying;
·    express your opinion on the subject of the project – what the best way to study and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://images.unsplash.com/photo-1606761568499-6d2451b23c66?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1074&q=80,https://images.unsplash.com/photo-1581668181500-08c6a6e006f7?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=387&q=80,A university auditorum,A young lay in a blue sweater studying from home in front of her laptop,
Возможности продолжения образования в высшей школе,,"Task 4. Imagine that you are doing a project “University education” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) the two types of universities;
·    express your opinion on the subject of the project – what universuty would you choose and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://images.unsplash.com/20/cambridge.JPG?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1147&q=80,https://burst.shopifycdn.com/photos/university-building-interior.jpg?width=925&format=pjpg&exif=1&iptc=1,A classic castle-like unuversity building,A modern white university building with students walking or casually sitting around.,
"Планы на будущее, проблема выбора профессии",,"Task 4. Imagine that you are doing a project “Career choices for young people” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project; 
·    mention the advantages and disadvantages (1–2) the two types of jobs;
·    express your opinion on the subject of the project – what career would you choose and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://burst.shopifycdn.com/photos/a-barista-smiles-proudly-stood-in-her-cafe.jpg?width=925&format=pjpg&exif=1&iptc=1,https://images.unsplash.com/photo-1581668181500-08c6a6e006f7?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=387&q=80,A barista posing in a cafe,A young lay in a blue sweater working from home in front of her laptop,
